repo	bucket	reason	eda_kinds	module_dirs	description
shmoergh/moduleur	IN	design files present	kicad	19	Fully analog DIY-friendly modular synth
Andreas-Dorfner/Powerline-USB-C	IN	design files present	kicad	2	Powerline is a small 3HP Front Entry USB-C eurorack power supply.
Fihdi/Eurorack	REVIEW	hardware present only as archives or documents - needs a look		0	Schematics and PCBs for my Eurorack modules
rheslip/2HPico-Eurorack-Module-Hardware	IN	design files present	kicad	9	2HP Eurorack module based on Raspberry Pi Pico 2
finnglink/rackforge	OUT	case/panel/rail generator - out of scope per conventions		0	A fully parametric 3D printable eurorack case
beLow-Industries/mod-mosfet	IN	design files present		1	eurorack module triple wave shaper
bastl-instruments/kastle2	IN	design files present	eagle	2	A modular DSP platform that fits into your pocket! Comes with open-source codebase and schematics. Citadel compatible.
bastl-instruments/citadel	IN	design files present	eagle	1	A Eurorack adaptation of the Kastle 2 pocket-sized synthesizer platform.
hires/Dintree	IN	design files present		11	Synthesizer Modules and Audio Circuits
gridbugs/briefcase-synth	IN	design files present	kicad	14	NONE
bmoren/attenuated-nearness	IN	design files present	kicad	1	a 6hp variation of the nearness eurorack module which adds an attenuator to each input!
GroundGrown/eurorack-modules	IN	design files present	eagle	1	All my older eurorack module designs
mysticcircuits/0HP_Modular	IN	design files present	eagle	7	A collection of small circuit boards meant to save space in a Eurorack modular synthesizer.
4ms/DLD	IN	design files present		1	Dual Looping Delay module
4ms/STS	IN	design files present	kicad	2	Firmware for Stereo Triggered Sampler, a eurorack module from 4ms Company
4ms/pcb-RCD-SCM-clocker	IN	design files present	kicad,eagle,geda	2	PCB for RCD and SCM, kit and pre-built versions
4ms/SMR	IN	design files present	eagle	1	Spectral Multiband Resonator
4ms/QPLFO-v22	IN	design files present	kicad	3	QPLFO source code for PCB v2.2 and later
Testbild-synth/HAGIWO-005-Eurorack-sequencer	IN	design files present	kicad,easyeda	2	Through hole PCB version of the HAGIWO 005 Generative Sequencer Eurorack module.
bmoren/Stereo-Output-2hp	IN	design files present	kicad	5	passive stereo output in 2hp (a companion for nearness)
erica-synths/diy-eurorack	REVIEW	hardware present only as archives or documents - needs a look		0	Erica Synths DIY Eurorack Modules
reidevries/optofilter	IN	design files present	eagle	1	optocoupler filter design
reidevries/shiitakevm	IN	design files present	eagle	1	CV-addressed multiplexor with interpolation, either for arbitrary waveshaping or crossfading ext sources
lonesoulsurfer/Delay_Modular_Synth	IN	design files present	kicad	1	NONE
wntrblm/Neptune	IN	design files present	kicad	3	A salty diode ladder filter
wntrblm/Castor_and_Pollux	IN	design files present	kicad	7	A Juno-inspired dual oscillator
wntrblm/Speak_to_Me	IN	design files present	kicad	4	A beautiful stereo headphone amplifier and a delightfully lo-fi speaker
minisystem/860	IN	design files present	kicad	1	800 series mulitmode filter
todbot/TrinketTouringMachine	IN	design files present	eagle	1	Eurorack modules based around Trinket M0
thismatters/EurorackTuringMachine	IN	design files present	kicad	1	Maybe the coolest module under the sun. My clone of the Music Thing Modular Turing Machine (mkII)
BastianSPCTRL/COEUR	IN	"user: IN; 1U tiles are in scope - put ""1U"" in notes. COEUR_MAIN.pdf is a KiCad-exported schematic (designators with values, net labels, ~{RESET}) -> schematic? = x; no layout files. Description: ""1u version of Tom Whitwell's / Music Thing Modular's Startup Module. Same license as original CCBYSA"" -> lineage Music Thing Modular"		0	1u version of Tom Whitwell's / Music Thing Modular's Startup Module. Same license as original CCBYSA.
fancyyyyy/kid	IN	design files present	eagle	1	6hp tri core vco
bummbummgarage/bummbummgarage.github.io	IN	user: mostly stripboard layouts; some link gerbers for PCBs; some derive from others' designs (Ken Stone: gate-to-trigger-converter; Music Thing Modular: chord-organ). Tree: 51 folders under modules/ - only 6 with gerbers, none with KiCad; revisions and case-only duplicate folders (vco-II-0.1 / vco-ii-0.1); 3 cases, 2 distro boards, ~12 folders with no design files	diylc,easyeda	41	NONE
chairaudio/ILSE	IN	design files present	kicad	1	Analog Monophonic Synthesizer Module for Education
cctvfm/cascadence	IN	design files present	eagle	1	Cascadence is a low-cost eurorack-compatible Arduino development platform
cctvfm/covenlfo	OUT	firmware/software only, no design files		0	Eurorack LFO Module based on SAMD21/ Xiao
mohoyt/output_mixer	IN	design files present	kicad	2	Simple 4 channel Eurorack output mixer
mohoyt/as3340_vco	IN	design files present	kicad	1	A Eurorack VCO powered by AS3340
mohoyt/2600ish_vcf	IN	design files present	kicad	2	An ARP 2600 inspired low pass filter for Eurorack
CubuSynth/6xlevel-doc	OUT	single build-guide PDF only, no design files - guide may contain a schematic, REVIEW		0	NONE
diysynth/EURORACK-MODULES	IN	design files present	eagle	10	Various Eurorack Modules
BelaPlatform/gliss-hardware	IN	design files present	kicad	3	NONE
mxmxmx/terminal_tedium	IN	design files present	fritzing	1	eurorack / pi codec
Emute-Lab-Instruments/uSEQ	IN	design files present	kicad	8	Hardware & firmware of the uSEQ Live Coding CV & Gate Sequencer
ctag-fh-kiel/ctag-straempler	IN	design files present	eagle	1	An open source eurorack sample streaming and sound synthesis module.
jsenzel1/supra	IN	design files present	kicad	4	NONE
microresearch/ERD	IN	design files present	eagle	1	Software, schematics and design files for ERD/ERD and ERD/SIR eurorack modules - Gamma and WORM are elsewhere!
microresearch/allcolours	IN	design files present	kicad	36	all the colours of the noise
microresearch/gamma	IN	design files present	eagle	1	random voltage source
microresearch/WORM	IN	design files present	kicad,eagle	2	voice
TomWhitwell/Workshop_Computer	IN	design files present		1	Code and examples for the Music Thing Modular Workshop Computer
Yorams/performancevco	IN	design files present	eagle	1	Eurorack version of LMNC Performance VCO
mxmxmx/3HP_dual_OA	IN	design files present		1	dual offset/attenuator
mxmxmx/telefuncen	OUT	README only, no files - hardware may live elsewhere, REVIEW		0	4 channel quantizer
Floating-Knobs/Cuisine_Hardware	IN	design files present		1	NONE
Fihdi/MiniDrumkit	IN	design files present	kicad	1	Eurorack DrumKit module with a 3 channel wave-file player and analog Hi-Hat and Kick Drum sections
