id	file	result	measured
p254	images/IMG_1322.jpeg	keep	n95=364 white=0.00 soft=0.156 strong=0.099
p254	images/Vulcan-DCO-ioboard.png	drop	flat graphic n95=2 white=0.96 soft=0.049 strong=0.052
p254	images/Vulcan-DCO-mainboard.png	drop	flat graphic n95=3 white=0.97 soft=0.065 strong=0.053
p254	images/attiny programmer.jpeg	keep	n95=114 white=0.76 soft=0.042 strong=0.080
p254	images/pulse.png	drop	flat graphic n95=9 white=0.00 soft=0.031 strong=0.074
p254	images/saw.png	drop	flat graphic n95=13 white=0.00 soft=0.031 strong=0.083
p254	images/sine.png	drop	flat graphic n95=10 white=0.00 soft=0.022 strong=0.071
p254	images/square.png	drop	flat graphic n95=10 white=0.00 soft=0.027 strong=0.075
p254	images/sub-square.png	drop	flat graphic n95=6 white=0.00 soft=0.023 strong=0.065
p254	images/triangle.png	drop	flat graphic n95=9 white=0.00 soft=0.019 strong=0.070
p255	active_3attMix V3 1u 3D.jpg	keep	n95=12 white=0.14 soft=0.047 strong=0.117
p255	active_3attMix_v3 3D front perspective.jpg	keep	n95=12 white=0.35 soft=0.040 strong=0.102
p255	active_3attMix_v3 3D front.jpg	keep	n95=11 white=0.20 soft=0.042 strong=0.146
p255	active_3attMix_v3 PCB 3D back.jpg	keep	n95=63 white=0.00 soft=0.091 strong=0.091
p255	active_3attMix_v3 PCB 3D front perspective.jpg	keep	n95=75 white=0.01 soft=0.096 strong=0.127
p255	active_3attMix_v3 PCB 3D front.jpg	keep	n95=87 white=0.00 soft=0.147 strong=0.169
p256	media/1-in-rack.jpg	drop	line art (JPEG) n95=15 white=0.00 soft=0.073 strong=0.040
p256	media/2-boards-front-back.jpg	keep	n95=55 white=0.00 soft=0.174 strong=0.069
p257	dot1.jpg	keep	n95=61 white=0.02 soft=0.148 strong=0.089
p258	pictures/01 - 303 interface with SMD and TH assembled/IMG_6317_result.jpg	keep	n95=108 white=0.00 soft=0.100 strong=0.088
p258	pictures/01 - 303 interface with SMD and TH assembled/IMG_6318_result.jpg	keep	n95=151 white=0.00 soft=0.118 strong=0.072
p258	pictures/01 - 303 interface with SMD and TH assembled/IMG_6319_result.jpg	keep	n95=149 white=0.00 soft=0.105 strong=0.080
p258	pictures/01 - 303 interface with SMD and TH assembled/IMG_6320_result.jpg	keep	n95=142 white=0.00 soft=0.136 strong=0.095
p258	pictures/01 - 303 interface with SMD and TH assembled/IMG_6324_result.jpg	keep	n95=89 white=0.03 soft=0.088 strong=0.138
p258	pictures/02 - 303 interface front panel/IMG_6315_result.jpg	keep	n95=61 white=0.01 soft=0.084 strong=0.088
p258	pictures/02 - 303 interface front panel/IMG_6316_result.jpg	keep	n95=48 white=0.00 soft=0.105 strong=0.035
p258	pictures/03 - x0x-hearth/IMG_6322_result.jpg	keep	n95=108 white=0.01 soft=0.131 strong=0.149
p258	pictures/03 - x0x-hearth/IMG_6323_result.jpg	keep	n95=47 white=0.01 soft=0.079 strong=0.039
p258	pictures/04 - final assembly/IMG_6310_result.jpg	keep	n95=101 white=0.00 soft=0.067 strong=0.066
p258	pictures/04 - final assembly/IMG_6311_result.jpg	keep	n95=75 white=0.00 soft=0.059 strong=0.046
p258	pictures/04 - final assembly/IMG_6312_result.jpg	keep	n95=86 white=0.00 soft=0.062 strong=0.044
p258	pictures/04 - final assembly/IMG_6313_result.jpg	keep	n95=73 white=0.00 soft=0.070 strong=0.048
p258	pictures/04 - final assembly/IMG_6314_result.jpg	keep	n95=101 white=0.00 soft=0.091 strong=0.083
p258	pictures/FRONT.jpg	keep	n95=93 white=0.00 soft=0.049 strong=0.050
p258	pictures/SIDE.jpg	keep	n95=66 white=0.00 soft=0.042 strong=0.030
p258	source files/interface 303/3D bottom.png	drop	flat graphic n95=16 white=0.00 soft=0.030 strong=0.080
p258	source files/interface 303/3D top.png	drop	flat graphic n95=17 white=0.02 soft=0.031 strong=0.082
p259	imgs/output.png	keep	n95=174 white=0.02 soft=0.173 strong=0.061
p259	imgs/pots.png	keep	n95=109 white=0.01 soft=0.183 strong=0.072
p26	board/images/TELEXb.v1.2.png	keep	n95=96 white=0.05 soft=0.065 strong=0.272
p260	3D/20200806_161902.jpg	keep	n95=82 white=0.00 soft=0.200 strong=0.130
p261	fotos/20240711_151741.jpg	keep	n95=187 white=0.00 soft=0.163 strong=0.079
p262	pictures/20230509_171236.jpg	keep	n95=65 white=0.00 soft=0.057 strong=0.054
p262	pictures/20230606_152035.jpg	keep	n95=178 white=0.03 soft=0.137 strong=0.092
p267	sss_back.png	drop	flat graphic n95=30 white=0.37 soft=0.092 strong=0.123
p267	sss_front.png	drop	flat graphic n95=23 white=0.40 soft=0.106 strong=0.103
p27	hardware/images/boards/breakout-bottom.png	keep	n95=83 white=0.03 soft=0.102 strong=0.102
p27	hardware/images/boards/breakout-top.png	keep	n95=68 white=0.05 soft=0.103 strong=0.106
p27	hardware/images/boards/mainboard-bottom.png	keep	n95=61 white=0.03 soft=0.136 strong=0.128
p27	hardware/images/boards/mainboard-top.png	drop	flat graphic n95=36 white=0.06 soft=0.131 strong=0.106
p27	hardware/images/kryonos.png	drop	mostly transparent (artwork/icon) n95=24 white=0.00 soft=0.023 strong=0.054
p27	hardware/images/st7735.jpg	keep	n95=107 white=0.03 soft=0.088 strong=0.071
p275	Hardware/Panel/STRACHEY Panel.jpg	keep	n95=108 white=0.00 soft=0.133 strong=0.074
p277	teensy-cv-pcb.png	drop	flat graphic n95=53 white=0.53 soft=0.082 strong=0.308
p278	figs/example.jpg	keep	n95=99 white=0.03 soft=0.213 strong=0.092
