repo	module_scope	board_files	name_groups	guess	pooled_verdict	counted_files	superseded
RebelTechnology/RebelTechnology	Xibeca	7	7	collection	both	CS4244.brd, Xibeca.brd, Xibeca00.brd, Xibeca44.brd, XibecaModule.brd, XibecaModuleBottom.brd, XibecaModuleTop.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development	8	8	collection	SMD	TiNRS - DuckTape.kicad_pcb, Gamenight.kicad_pcb, Space.kicad_pcb, TiNRS - Tuesday.kicad_pcb, WhiteRabbit.kicad_pcb, TINRS - Wobbler (pico)sch.kicad_pcb, TiNRS - Wobbler SMDLeds.kicad_pcb, TiNRS Wobbler2.kicad_pcb	
ThisIsNotRocketScience/Eurorack-Modules	Development/EuroForError	6	6	collection	both	BigBus_Error.brd, BigBus_XXL_Breed_Error.brd, BigBus_XXL_Error.brd, DoubleAmp.brd, Organ.brd, Organ_fix1.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack FutureSets	6	6	collection	SMD	DrumVoices.brd, EnvLfo.brd, K66.brd, MiniScreenStrip.brd, SimpleMixer.brd, TestBench.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 1	9	9	collection	both	GateRhythm.brd, GoldFishFront.brd, Jack.brd, LauriFilter.brd, OpampTestBoard.brd, ScaleOffset.brd, SonicScrewdriver.brd, TimeLord.brd, ZephMultiples.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 12	7	7	collection	both	MiniKeyb.brd, Nein.brd, SimpleKeyboard.brd, SimpleKeyboardTeensy.brd, Speaker.brd, SwitchTester.brd, WestLaunch.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 13	6	6	collection	both	ASuitable Number Of Microphones.brd, TINRS - Faust On ESP32.brd, TINRS - Highly Opinionated.brd, TINRS - SmallStuff.brd, TINRS-SimpleMixer.brd, TINRS-Snek.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2	11	11	collection	both	EuroProtoFront.brd, GateRhythm-R2.brd, GoldFishFront-R2.brd, LEDDistortion.brd, LauriFilter-R2.brd, MiniBus.brd, OpampTestBoard.brd, ScaleOffset-R2.brd, SonicScrewdriver-R2.brd, TimeLord-R2.brd, ZephMultiples-R2.brd	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021	8	8	collection	SMD	TiNRS - DuckTape.kicad_pcb, Gamenight.kicad_pcb, Space.kicad_pcb, TiNRS - Tuesday.kicad_pcb, WhiteRabbit.kicad_pcb, TINRS - Wobbler (pico)sch.kicad_pcb, TiNRS - Wobbler SMDLeds.kicad_pcb, TiNRS Wobbler2.kicad_pcb	
ThisIsNotRocketScience/Eurorack-Modules	Development/Eurorack Set 2021/Wobbler2_kicad	3	3	collection	SMD	TINRS - Wobbler (pico)sch.kicad_pcb, TiNRS - Wobbler SMDLeds.kicad_pcb, TiNRS Wobbler2.kicad_pcb	
