tier	repo	module_dir	dirs_in_repo	boards	status
2	StudioKAT/R2R-DAC	v1.0	2	1	skip
2	StudioKAT/R2R-DAC	v2.0	2	1	done
2	StudioKAT/Toolbox	v1.0	2	1	skip
2	StudioKAT/Toolbox	v2.1	2	1	done
2	svgeesus/ondesModulaire	dual comparator	5	1	done
2	svgeesus/ondesModulaire	keyboard	5	2	skip
2	svgeesus/ondesModulaire	offsets	5	2	done
2	svgeesus/ondesModulaire	precision rectifier	5	1	done
2	svgeesus/ondesModulaire	transpositeurs	5	1	done
2	TomWhitwell/TuringMachine	.	3	3	done
2	TomWhitwell/TuringMachine	Collateral/Older Versions	3	1	skip
2	TomWhitwell/TuringMachine	Collateral/PDF Schematics	3	0	skip
2	vaeinoe/moraydular	156bus_narrow	4	1	skip
2	vaeinoe/moraydular	my_little_euro	4	1	done
2	vaeinoe/moraydular	powerbus	4	2	done
2	vaeinoe/moraydular	virta	4	1	done
2	VoltageFoundryMod/IRONMix	.	3	3	skip
2	VoltageFoundryMod/IRONMix	V1	3	2	done
2	VoltageFoundryMod/IRONMix	V1/jlcpcb	3	0	done
2	vonkonow/LEET-Modular	.	2	0	done
2	vonkonow/LEET-Modular	build_pcb	2	0	skip
2	vult-dsp/Vult-DIY-Resources	Fuser	3	0	done
2	vult-dsp/Vult-DIY-Resources	Vorg	3	0	done
2	vult-dsp/Vult-DIY-Resources	Wolv	3	0	done
2	WiggisModular/mmc	psu/eurorack1A	2	1	done
2	WiggisModular/mmc	psu/eurorack1A_SMD	2	1	done
2	wntrblm/Helium	.	3	2	done
2	wntrblm/Helium	hardware/faceplate	3	0	skip
2	wntrblm/Helium	hardware/hubble-lens	3	1	skip
2	wntrblm/Neptune	.	3	2	done
2	wntrblm/Neptune	hardware/faceplate	3	0	skip
2	wntrblm/Neptune	hardware/hubble-lens	3	1	skip
2	wntrblm/Speak_to_Me	.	4	3	done
2	wntrblm/Speak_to_Me	hardware/faceplate	4	0	skip
2	wntrblm/Speak_to_Me	hardware/headphone-breakout	4	1	skip
2	wntrblm/Speak_to_Me	hardware/hubble-lens	4	1	skip
3	acobley/Analog-Voice	AJH_100_ADSR	14	1	done
3	acobley/Analog-Voice	AJH_2V_VCA	14	1	done
3	acobley/Analog-Voice	AJH_Headphone_Amp	14	1	done
3	acobley/Analog-Voice	AJH_LPG	14	1	done
3	acobley/Analog-Voice	AJH_SSI2144	14	1	done
3	acobley/Analog-Voice	AJH_Wasp	14	1	done
3	acobley/Analog-Voice	AJH_as3310_DUAL_ASR	14	1	done
3	acobley/Analog-Voice	AJH_as3320_HPF	14	1	done
3	acobley/Analog-Voice	AJH_as3320_LPF	14	1	done
3	acobley/Analog-Voice	AJH_as3340_VCO	14	1	done
3	acobley/Analog-Voice	AJH_module_tester	14	1	done
3	acobley/Analog-Voice	AS3320-24BP	14	1	done
3	acobley/Analog-Voice	as3320-Vowel	14	2	done
3	acobley/Analog-Voice	as3320_BP	14	1	done
3	BleepSound/ms20-vcf-double	.	7	1	skip
3	BleepSound/ms20-vcf-double	fabrication	7	1	skip
3	BleepSound/ms20-vcf-double	fabrication/circuitboard	7	1	skip
3	BleepSound/ms20-vcf-double	fabrication/circuitboard/JLCPCB	7	0	skip
3	BleepSound/ms20-vcf-double	fabrication/jackboard	7	1	skip
3	BleepSound/ms20-vcf-double	fabrication/jackboard/JLCPCB	7	0	skip
3	BleepSound/ms20-vcf-double	kicad-global	7	1	done
3	BurningForceKin/ModularSynthStuff	Distortion	6	0	done
3	BurningForceKin/ModularSynthStuff	HeadphoneOutV1	6	0	done
3	BurningForceKin/ModularSynthStuff	Omnitool	6	0	done
3	BurningForceKin/ModularSynthStuff	Paco	6	0	todo
3	BurningForceKin/ModularSynthStuff	Tuner	6	0	done
3	BurningForceKin/ModularSynthStuff	Wesp	6	0	done
3	coriolisinstruments/EurorackModules	1Utilities/1U_LPG/hardware/1u_lpg	15	1	done
3	coriolisinstruments/EurorackModules	1Utilities/1U_LPG/hardware/1u_lpg_panel	15	0	skip
3	coriolisinstruments/EurorackModules	1Utilities/1U_Mult/hardware/1u_mult	15	1	done
3	coriolisinstruments/EurorackModules	1Utilities/1U_Mult/hardware/1u_mult_panel	15	0	skip
3	coriolisinstruments/EurorackModules	1Utilities/1U_Mute/hardware/1u_mute	15	1	done
3	coriolisinstruments/EurorackModules	1Utilities/1U_Mute/hardware/1u_mute_panel	15	0	skip
3	coriolisinstruments/EurorackModules	Corona/hardware	15	2	done
3	coriolisinstruments/EurorackModules	Corona/hardware/Corona_KiCad	15	2	done
3	coriolisinstruments/EurorackModules	Multibus/hardware/Multibus	15	2	done
3	coriolisinstruments/EurorackModules	Multibus/hardware/Multibus_panel	15	0	skip
3	coriolisinstruments/EurorackModules	PSUCompanion/hardware/psucompanion	15	1	done
3	coriolisinstruments/EurorackModules	SnackBus_PSU	15	1	done
3	coriolisinstruments/EurorackModules	SnackBus_PSU/hardware	15	1	done
3	coriolisinstruments/EurorackModules	Templates	15	2	skip
3	coriolisinstruments/EurorackModules	Templates/Kicad_template	15	1	skip
3	Cs4System/Eurorack	Betula	9	4	done
3	Cs4System/Eurorack	Betula/Betula_ADAT	9	1	done
3	Cs4System/Eurorack	Betula/Betula_Input	9	1	done
3	Cs4System/Eurorack	Betula/Betula_Main	9	1	done
3	Cs4System/Eurorack	Betula/Betula_Output	9	1	done
3	Cs4System/Eurorack	Dual Ears	9	1	done
3	Cs4System/Eurorack	Salix	9	1	done
3	Cs4System/Eurorack	Salix/Documentaion	9	0	done
3	Cs4System/Eurorack	Transistor_Ladder_VCF	9	1	done
3	diysynth/EURORACK-MODULES	3320 VCF (6HP)	10	0	done
3	diysynth/EURORACK-MODULES	BUFFERED MULTIPLE (3HP)	10	0	done
3	diysynth/EURORACK-MODULES	CYCLING ENVELOPE GENERATOR (4HP)	10	0	done
3	diysynth/EURORACK-MODULES	DIGILFO (6HP)	10	0	done
3	diysynth/EURORACK-MODULES	LOOPING A-R	10	1	done
3	diysynth/EURORACK-MODULES	NOISE LAB (3HP)	10	0	done
3	diysynth/EURORACK-MODULES	OFFSET-GAIN UTILITY (4HP)	10	0	done
3	diysynth/EURORACK-MODULES	PASSIVE LOW PASS GATE (2HP)	10	0	done
3	diysynth/EURORACK-MODULES	PSU (6HP)	10	0	done
3	diysynth/EURORACK-MODULES	SUB MODULATOR (6HP)	10	0	done
3	DJmerkury/SoundFlask	Adder	8	0	done
