creator,Module Name,Type of Module,License,schematic?,layout,components,link,notes
BruteClaw,NOR Gate (THT),logic (NOR),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Logic_Gates_THT/NOR_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Logic_Gates_THT/NOR_THT,See alt. version: Surface Mount Designes/Logic_Gates/NOR
BruteClaw,NOT Gate (THT),logic (NOT),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Logic_Gates_THT/NOT_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Logic_Gates_THT/NOT_THT,See alt. version: Surface Mount Designes/Logic_Gates/NOT
BruteClaw,OR Gate (THT),logic (OR),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Logic_Gates_THT/OR_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Logic_Gates_THT/OR_THT,See alt. version: Surface Mount Designes/Logic_Gates/OR
BruteClaw,XOR Gate (THT),logic (XOR),GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Logic_Gates_THT/XOR_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Logic_Gates_THT/XOR_THT,See alt. version: Surface Mount Designes/Logic_Gates/XOR
BruteClaw,Power Distribution (THT),bus board,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Power_Distribution_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Power_Distribution_THT,See alt. version: Surface Mount Designes/Power_Distribution
BruteClaw,Power Supply (THT),power supply,GPL v3,https://github.com/BruteClaw/Analog-Synth/blob/main/Through%20Hole%20Designs/Power_Supply_THT/Schematic.pdf,kicad + gerbers,THT,https://github.com/BruteClaw/Analog-Synth/tree/main/Through%20Hole%20Designs/Power_Supply_THT,See alt. version: Surface Mount Designes/Power_Supply
spielhuus,Kaos,chaos generator,,x,kicad,,https://github.com/spielhuus/elektrophon/tree/master/src/kaos,
MFOS + spielhuus,Kraft (modified),"power supply (bipolar, wall-wart)",,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/kraft,
Ken Stone + spielhuus,Pentode VCA (modified),VCA (tube),,x,kicad,SMD,https://github.com/spielhuus/elektrophon/tree/master/src/pentode,based on L-1 tube VCA
spielhuus,Polivoks VCF,VCF (Polivoks),,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/polivoks,based on Polivoks design; see Marc Bareille POLIVOKS Filter Clone
spielhuus,Produkt,VCA / ring modulator,,x,kicad,both,https://github.com/spielhuus/elektrophon/tree/master/src/produkt,
spielhuus,Resonanz,filter bank (band-pass),,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/resonanz,
Serge + spielhuus,SSG (modified),S&H / slew (Serge SSG),,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/ssg,based on Ken Stone CGS92 design
spielhuus,Steckfeld,breadboard interface (mixers),,x,kicad,THT,https://github.com/spielhuus/elektrophon/tree/master/src/steckfeld,
spielhuus,Summe,mixer / attenuverter,,x,kicad,SMD,https://github.com/spielhuus/elektrophon/tree/master/src/summe,
Ian Fritz + spielhuus,Threeler (modified),VCF (3rd order),,x,kicad,both,https://github.com/spielhuus/elektrophon/tree/master/src/threeler,
spielhuus,Tiefpass,filter (low-pass),,x,kicad,both,https://github.com/spielhuus/elektrophon/tree/master/src/tiefpass,
Larry McGovern + Mental Noise,Axon (modified),MIDI-CV,GPL v3,https://github.com/Mental-Noise/Axon/blob/master/schematics/schematics.png,,SMD,https://github.com/Mental-Noise/Axon,
Mental Noise,Synapse,CV-MIDI,GPL v3,https://github.com/Mental-Noise/Synapse/blob/master/schematics/Analog_Inputs.png,easyEDA,SMD,https://github.com/Mental-Noise/Synapse,
Mental Noise,Thal,"mixer / output (3-ch stereo, headphone)",GPL v3,https://github.com/Mental-Noise/Thal/blob/main/schematics/thal.png,,both,https://github.com/Mental-Noise/Thal,"based on Befaco STMix, Befaco Out and Intellijel Audio I/O"
GMSN + pixiemars,Pure ADSR,EG (ADSR),,x,eagle,SMD,https://github.com/pixiemars/GMSNPure/blob/master/GMSN-Pure-ADSR-master-eaf83545d02f7394b666da257b304eec5bba277b.zip,
GMSN + pixiemars,Pure LFO,LFO,,x,eagle,SMD,https://github.com/pixiemars/GMSNPure/blob/master/GMSN-Pure-LFO-master-d089ac08efe0c56395dc4200de4310bcf5ddf024.zip,
GMSN + pixiemars,Pure Power Strip,"bus board (powered, DC-DC)",,x,eagle,,https://github.com/pixiemars/GMSNPure/blob/master/GMSN-Pure-Power-Strip-master-6e347499ce3b8ca78649abc5de14b53f901818cc.zip,
GMSN + pixiemars,Pure S&H,S&H,,x,eagle,SMD,https://github.com/pixiemars/GMSNPure/blob/master/GMSN-Pure-Sample-Hold-master-1b4fa1281f2136ba8bf5baa732c5a04d5bd2fdc4.zip,
GMSN + pixiemars,Pure VCA,VCA,,x,eagle,SMD,https://github.com/pixiemars/GMSNPure/blob/master/GMSN-Pure-VCA-master-c4bc9d760854f981a824b311be3883cc9f4fd236.zip,
GMSN + pixiemars,Pure VCF,VCF,,x,eagle,SMD,https://github.com/pixiemars/GMSNPure/blob/master/GMSN-Pure-VCF-master-b78bbad56e109ea96959d2dcbfb914878465657e.zip,
GMSN + pixiemars,Pure VCO,VCO,,x,eagle,SMD,https://github.com/pixiemars/GMSNPure/blob/master/GMSN-Pure-VCO_1-master-256581345c0d2d3f55c2f87f8527bc7e126a2038.zip,
odeliy,Dub Delay,delay (dub),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Effect_Dub-Delay.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Effect_Dub-Delay.pdf,
odeliy,Fuzz,fuzz,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Effect_Fuzz.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Effect_Fuzz.pdf,
odeliy,Reverb Belton,reverb (Belton brick),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Effect_Reverb_Belton.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Effect_Reverb_Belton.pdf,
odeliy,Dopes,EG,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Envelope_Dopes.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Envelope_Dopes.pdf,
odeliy,Electric Druid EnvGen8,EG (Electric Druid EnvGen8),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Envelope_Electric-Druid-EnvGen8.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Envelope_Electric-Druid-EnvGen8.pdf,
odeliy,Quadlopes,EG,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Envelope_Quadlopes.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Envelope_Quadlopes.pdf,
odeliy,Slopes,EG,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Envelope_Slopes.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Envelope_Slopes.pdf,
odeliy,Unreleased,drum (kick),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Kick_Unreleased.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Kick_Unreleased.pdf,
odeliy,VCD+ V1 THT,drum (kick),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Kick_VCD%2B_V1_THT.pdf,,THT,https://github.com/odeliy/schema-cave/blob/main/Kick_VCD%2B_V1_THT.pdf,See alt. version: Kick_VCD+_V2_SMD.pdf
odeliy,VCD+ V2 SMD,drum (kick),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Kick_VCD%2B_V2_SMD.pdf,,SMD,https://github.com/odeliy/schema-cave/blob/main/Kick_VCD%2B_V2_SMD.pdf,See alt. version: Kick_VCD+_V1_THT.pdf
odeliy,LFO,LFO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/LFO_LFO.pdf,,,https://github.com/odeliy/schema-cave/blob/main/LFO_LFO.pdf,
odeliy,Loafers,LFO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/LFO_Loafers.pdf,,SMD,https://github.com/odeliy/schema-cave/blob/main/LFO_Loafers.pdf,
odeliy,uLoaf,LFO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/LFO_uLoaf.pdf,,,https://github.com/odeliy/schema-cave/blob/main/LFO_uLoaf.pdf,
odeliy,Patterns,logic,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Logic_Patterns.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Logic_Patterns.pdf,
odeliy,RPG,logic,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Logic_RPG.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Logic_RPG.pdf,
odeliy,ISD Sampler,sampler (ISD chip),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Misc_ISD-Sampler.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Misc_ISD-Sampler.pdf,
odeliy,Juno 106 Voicechip NR80017A,voice chip replacement (Juno-106 80017A),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Misc_Juno-106-Voicechip-NR80017A.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Misc_Juno-106-Voicechip-NR80017A.pdf,
odeliy,Octave Glide,pitch utility (octave / glide),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Misc_Octave-Glide.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Misc_Octave-Glide.pdf,
odeliy,Output,output,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Misc_Output.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Misc_Output.pdf,
odeliy,S&H,S&H,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Misc_S%26H.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Misc_S%26H.pdf,
odeliy,Audio Mixer,mixer,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Mixer_Audio-Mixer.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Mixer_Audio-Mixer.pdf,
odeliy,Onboard Mixer,mixer,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Mixer_Onboard-Mixer.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Mixer_Onboard-Mixer.pdf,
odeliy,Swiss Army Mixer,mixer,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Mixer_Swiss-Army-Mixer.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Mixer_Swiss-Army-Mixer.pdf,
odeliy,Swisso,mixer,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Mixer_Swisso.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Mixer_Swisso.pdf,
odeliy,Flux V1 4hp,noise,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Noise_Flux-V1-4hp.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Noise_Flux-V1-4hp.pdf,See alt. version: Noise_Flux-V2-6hp.pdf
odeliy,Flux V2 6hp,noise,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Noise_Flux-V2-6hp.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Noise_Flux-V2-6hp.pdf,See alt. version: Noise_Flux-V1-4hp.pdf
odeliy,Wtf,noise,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Noise_Wtf.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Noise_Wtf.pdf,
odeliy,Steps,sequencer,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Seqn_Steps.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Seqn_Steps.pdf,
odeliy,Voltage Sequencer,sequencer,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Seqn_Voltage-Sequencer.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Seqn_Voltage-Sequencer.pdf,
odeliy,XOX CMOS,"sequencer (XOX, CMOS)","open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/Seqn_XOX_CMOS.pdf,,,https://github.com/odeliy/schema-cave/blob/main/Seqn_XOX_CMOS.pdf,
odeliy,2xVCA,VCA,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCA_2xVCA.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCA_2xVCA.pdf,
odeliy,Crossfade,crossfader (VCA),"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCA_Crossfade.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCA_Crossfade.pdf,
odeliy,Xim,VCA,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCA_Xim.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCA_Xim.pdf,
odeliy,12db V1,VCF,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCF_12db-V1.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCF_12db-V1.pdf,See alt. version: VCF_12db-V2.pdf
odeliy,12db V2,VCF,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCF_12db-V2.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCF_12db-V2.pdf,See alt. version: VCF_12db-V1.pdf
odeliy,Acidix,VCF,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCF_Acidix.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCF_Acidix.pdf,
odeliy,Creep,VCF,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCF_Creep.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCF_Creep.pdf,
odeliy,Lola,VCF,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCF_Lola.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCF_Lola.pdf,
odeliy,Bermuda,VCO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCO_Bermuda.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCO_Bermuda.pdf,
odeliy,Complex,VCO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCO_Complex.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCO_Complex.pdf,
odeliy,Mino,VCO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCO_Mino.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCO_Mino.pdf,
odeliy,Sawcore,VCO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCO_Sawcore.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCO_Sawcore.pdf,
odeliy,Utility VCO,VCO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCO_Utility-VCO.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCO_Utility-VCO.pdf,
odeliy,Wavepool,VCO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCO_Wavepool.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCO_Wavepool.pdf,
odeliy,uBermuda,VCO,"open source, no licence named",https://github.com/odeliy/schema-cave/blob/main/VCO_uBermuda.pdf,,,https://github.com/odeliy/schema-cave/blob/main/VCO_uBermuda.pdf,
16n-faderbank,16nx,"fader controller (16-ch, MIDI / CV / I2C)",CC BY-SA 4.0,x,kicad,SMD,https://github.com/16n-faderbank/16nx,
4ms Company,Dual Looping Delay,looping delay (dual),MIT,https://github.com/4ms/DLD/blob/master/hardware/DLD-v1-schematic.pdf,,,https://github.com/4ms/DLD,
4ms Company,Spectral Multiband Resonator,resonator (6-band),MIT,https://github.com/4ms/SMR/blob/master/hardware/smr-1.0.1-schematic.pdf,eagle,both,https://github.com/4ms/SMR,
508-loop-detected,Bounce Sequencer,sequencer (8-step),CC BY-NC-SA 4.0,https://github.com/508-loop-detected/bounce-sequencer/blob/main/Schematic_bounce-sequencer-v2-mainboard.pdf,gerbers,both,https://github.com/508-loop-detected/bounce-sequencer,See alt. version: Minibounce Sequencer
508-loop-detected,burst,burst generator (triggers),CC BY-NC-SA 4.0,https://github.com/508-loop-detected/burst/blob/main/Schematic_burst-back-v1.0_2023-08-13.pdf,gerbers,SMD,https://github.com/508-loop-detected/burst,based on Ken Stone's Catgirl Burst
508-loop-detected,Minibounce Sequencer,sequencer (8-step),CC BY-NC-SA 4.0,https://github.com/508-loop-detected/minibounce/blob/main/Schematic_bounce-mini-back-v-5.0_2023-08-19.pdf,gerbers,SMD,https://github.com/508-loop-detected/minibounce,See alt. version: Bounce Sequencer
508-loop-detected,nverb,reverb / delay (NemFX),CC BY-NC-SA 4.0,https://github.com/508-loop-detected/nverb/blob/main/Schematic_nemesis-reverb-eurorack-main_2021-05-06.pdf,gerbers,both,https://github.com/508-loop-detected/nverb,
508-loop-detected,quant,quantizer,CC BY-NC-SA 4.0,https://github.com/508-loop-detected/quant/blob/main/Schematic_circuitpython-quantizer-main-w-rp2040-v1-as-ordered_2024-01-01.pdf,gerbers,SMD,https://github.com/508-loop-detected/quant,
Allen-Synthesis,Kompari,comparator,,x,kicad + gerbers,THT,https://github.com/Allen-Synthesis/Kompari,
AudioMorphology,Europi,sequencer (Raspberry Pi),,https://github.com/AudioMorphology/Europi/blob/master/kicad/europi_main_v2/europi_main_v2_schematic.pdf,kicad + gerbers,SMD,https://github.com/AudioMorphology/Europi/tree/master/kicad/europi_main_v2,"See expanders: Minion, MIDI Minion"
AudioMorphology,Minion,expander (Europi),,x,kicad + gerbers,SMD,https://github.com/AudioMorphology/Europi/tree/master/kicad/minion,expander for Europi
AudioMorphology,MIDI Minion,MIDI expander (Europi),,x,kicad + gerbers,both,https://github.com/AudioMorphology/Europi/tree/master/kicad/midi_minion,expander for Europi
AudioMorphology,waft,gesture controller (LIDAR),"open source, no licence named (hardware, OSHWA UK000005) / Creative Commons or MIT (software)",x,kicad + gerbers,SMD,https://github.com/AudioMorphology/waft,
Music Thing Modular + BastianSPCTRL,COEUR,"MIDI-to-CV / utility (Startup, 1U)",CC BY-SA,,,,https://github.com/BastianSPCTRL/COEUR,1U; based on Music Thing Modular Startup
DIYSynthMNL,Eurorack PT2399 Delay,PT2399 delay,,https://github.com/DIYSynthMNL/Eurorack-PT2399-Delay/blob/main/schematic%20pdfs/Eurorack-PT2399-Delay-Rev0.1.1.pdf,,,https://github.com/DIYSynthMNL/Eurorack-PT2399-Delay,
DatanoiseTV,USB-C Eurorack PSU,power supply (USB-C PD),,x,easyEDA + gerbers,SMD,https://github.com/DatanoiseTV/USB-C-Eurorack-PSU,
Electric Druid + DenBelmans,Eurorack Dual VCA,VCA (dual),,x,kicad + gerbers,THT,https://github.com/DenBelmans/Eurorack-Dual-VCA,
Fihdi,BIPO,"VCA (dual, bipolar) / ring modulator",CC BY-NC 4.0,https://github.com/Fihdi/BIPO/blob/main/BIPO-Schematic.pdf,kicad + gerbers,SMD,https://github.com/Fihdi/BIPO,
Fihdi,DICE,S&H / noise / random voltage / comparator,CC BY-NC 4.0,https://github.com/Fihdi/DICE/blob/main/DICE-Schematic.pdf,kicad + gerbers,SMD,https://github.com/Fihdi/DICE,
Fihdi,SCULPT,ADSR,CC BY-NC 4.0,https://github.com/Fihdi/SCULPT/blob/main/ADSR-Schematic.pdf,kicad,SMD,https://github.com/Fihdi/SCULPT,
Fihdi,SVF12,VCF (12dB state-variable),CC BY-NC 4.0,https://github.com/Fihdi/SVF12/blob/main/SVF12-Schematic.pdf,kicad + gerbers,SMD,https://github.com/Fihdi/SVF12,
Fihdi,UNO,VCO / LFO,CC BY-NC 4.0,https://github.com/Fihdi/UNO/blob/main/UNOSchematic.pdf,kicad + gerbers,SMD,https://github.com/Fihdi/UNO,
Serge + Fihdi,VCAR,slope generator (AR envelope / slew),CC BY-NC 4.0,x,kicad + gerbers,SMD,https://github.com/Fihdi/VCAR,
Floating-Knobs,Cuisine,sequencer / controller platform (ATmega4809),,https://github.com/Floating-Knobs/Cuisine_Hardware/blob/main/Cuisine_schematic.pdf,,,https://github.com/Floating-Knobs/Cuisine_Hardware,
L71,VCLFO,LFO / VCO,CC BY-SA,x,eagle,both,https://github.com/L71/VCLFO,
LjungrennAudio,X(N)OR-NOT,logic (XNOR / NOT),,https://github.com/LjungrennAudio/ryomodular-com-xnor-not/blob/main/docs/RYO_X%28N%29OR-NOT_Schematics.pdf,,,https://github.com/LjungrennAudio/ryomodular-com-xnor-not,
Tesseract Modular,Sweet Sixteen,fader controller (16-ch),MIT (firmware),x,eagle,both,https://github.com/M4ngu/Sweet-Sixteen,based on 16n faderbank
Mutable Instruments + MichiganSynthWorks,2HP2CV,USB-MIDI to CV,MIT,x,eagle,SMD,https://github.com/MichiganSynthWorks/Euro-Modules/tree/master/2HP2CV,
Midiverse Modular,MVM006 LFO,LFO,,https://github.com/MidiverseModular/MVM006_LFO/blob/main/MVM006%20LFO%20Schematic.pdf,,,https://github.com/MidiverseModular/MVM006_LFO,
Midiverse Modular,MVM025 Diode Filter,VCF (diode),,https://github.com/MidiverseModular/MVM025_DiodeFilter/blob/main/MVM025%20Diode%20Filter_Schematic.pdf,,,https://github.com/MidiverseModular/MVM025_DiodeFilter,
Rebel Technology,Chronos,tap tempo / clock,GPL v2,https://github.com/RebelTechnology/Chronos/blob/master/hardware/TapTempo-schematic.pdf,,,https://github.com/RebelTechnology/Chronos,
SourceryOne,S|T&H (SITH),S&H / T&H (Arduino),,https://github.com/SourceryOne/Arduino-Sample-and-Hold/blob/main/Schematic_Arduino-S-H_2024-05-07.pdf,,,https://github.com/SourceryOne/Arduino-Sample-and-Hold,
Mutable Instruments + SourceryOne,Beaks,function generator (dual; envelope / LFO / drum),CC BY-SA 3.0,https://github.com/SourceryOne/Beaks/blob/main/Schematic_MiaW-Beaks-MI-peaks-clone-v1_1.pdf,gerbers,,https://github.com/SourceryOne/Beaks,Mutable Instruments Peaks clone running Mathias Levy's $peaks firmware
Mutable Instruments + SourceryOne,Grenar,Bernoulli Gate,,https://github.com/SourceryOne/Grenar/blob/main/Schematic_MiaW-Grenar-a-MI-branches-clone-th_2025-07-22.pdf,gerbers,,https://github.com/SourceryOne/Grenar,THT variant of Mutable Instruments Branches
StudioKAT,Passive LPG 1U,LPG (passive),CC BY-SA 4.0,https://github.com/StudioKAT/PassiveLPG1U/blob/main/v1.0/Schematics/Passive%20LPG%201U_schematics_v1.0.pdf,kicad + gerbers,SMD,https://github.com/StudioKAT/PassiveLPG1U/tree/main/v1.0,1U
StudioKAT,Vintage Dual VCA,"VCA (dual, LM13700)",CC BY-SA 4.0,https://github.com/StudioKAT/VintageDualVCA/blob/main/v1.0/Schematics/VintageDualVCA_schematics_v1.0.pdf,kicad + gerbers,SMD,https://github.com/StudioKAT/VintageDualVCA/tree/main/v1.0,
Synthrotek,ADSR,ADSR,CC BY-SA,https://github.com/Synthrotek/ADSR/blob/master/Hardware/Schematics/ADSR%20Main%20Board%20v1.1.pdf,gerbers,,https://github.com/Synthrotek/ADSR,
YuSynth + TOILmodular,EurorackVCPanner,"panner (VC, 2-ch)",,https://github.com/TOILmodular/EurorackVCPanner/blob/main/Schematic/VCPanner_Schematic.pdf,gerbers,,https://github.com/TOILmodular/EurorackVCPanner,
Mutable Instruments + TOILmodular,Plaits,macro oscillator,,https://github.com/TOILmodular/Plaits/blob/main/Schematic/Schematic_Plaits.pdf,gerbers,SMD,https://github.com/TOILmodular/Plaits,
Pro Co + TOILmodular,RAT,"distortion (dual, RAT)",,https://github.com/TOILmodular/RAT/blob/main/Schematic/Schematic.pdf,gerbers,SMD,https://github.com/TOILmodular/RAT,
