creator,Module Name,Type of Module,License,schematic?,layout,components,link,notes
Electric Druid + DIYSynthMNL,Eurorack Electric Druid VCDO1,wavetable oscillator (VCDO1),CC BY-NC-SA 4.0,https://github.com/DIYSynthMNL/Eurorack-Electric-Druid-VCDO1/blob/main/Schematic%20PDFs/Electric%20Druid%20VCDO1_Multiboard_Schematic_0.1.4.pdf,,,https://github.com/DIYSynthMNL/Eurorack-Electric-Druid-VCDO1,
Sin Phi + JMHanson4,Miasma 1.03 Revised (SMD),function generator (dual; Rampage-style),,x,kicad + gerbers,SMD,https://github.com/JMHanson4/Miasma_1.03_Revised,Miasma is based on the Befaco Rampage
Mutable Instruments + Tesseract Modular,FranKinksTides,function generator (tidal modulator),CC BY-SA,x,eagle + gerbers,SMD,https://github.com/M4ngu/FranKinksTides/tree/master/last_version_v1.4,
Cody Iott + Midiverse Modular,MVM016 VCO,VCO,,https://github.com/MidiverseModular/MVM_OOAK_Project/blob/main/MVM016_VCO/MVM016_VCO_Schematic.pdf,,,https://github.com/MidiverseModular/MVM_OOAK_Project/tree/main/MVM016_VCO,schematics from https://github.com/odeliy/schema-cave
Cody Iott + Midiverse Modular,MVM019 Quad Envelope,envelope (quad),,https://github.com/MidiverseModular/MVM_OOAK_Project/blob/main/MVM019_Quad%20Envelope/MVM019_Quad%20Envelope_Schematic.pdf,,,https://github.com/MidiverseModular/MVM_OOAK_Project/tree/main/MVM019_Quad%20Envelope,schematics from https://github.com/odeliy/schema-cave
Cody Iott + Midiverse Modular,MVM020 Skew LFO,LFO (skew),,https://github.com/MidiverseModular/MVM_OOAK_Project/blob/main/MVM020_Skew%20LFO/MVM020%20Skew%20LFO_Schematic.pdf,,,https://github.com/MidiverseModular/MVM_OOAK_Project/tree/main/MVM020_Skew%20LFO,schematics from https://github.com/odeliy/schema-cave
Cody Iott + Midiverse Modular,MVM021 Utility Mixer,mixer (utility),,https://github.com/MidiverseModular/MVM_OOAK_Project/blob/main/MVM021_Utility%20Mixer/MVM020%20Utility%20Mixer_Schematic.pdf,,,https://github.com/MidiverseModular/MVM_OOAK_Project/tree/main/MVM021_Utility%20Mixer,schematics from https://github.com/odeliy/schema-cave
Cody Iott + Midiverse Modular,MVM024 VCF,VCF,,https://github.com/MidiverseModular/MVM_OOAK_Project/blob/main/MVM024_VCF/MVM024%20VCF_Schematic.pdf,,,https://github.com/MidiverseModular/MVM_OOAK_Project/tree/main/MVM024_VCF,schematics from https://github.com/odeliy/schema-cave
Nagasaki45,1 2 3,sequential gate (8-step),,x,eagle,THT,https://github.com/Nagasaki45/eurorack/tree/main/1%202%203,
Nagasaki45,I M smart,"mixer (3-ch, with extras)",,x,eagle,THT,https://github.com/Nagasaki45/eurorack/tree/main/I%20M%20smart,
Nagasaki45,eurodev,breadboard dev tool (power),,x,eagle,THT,https://github.com/Nagasaki45/eurorack/tree/main/eurodev,
Nagasaki45,let's play together,clock (analog + MIDI sync),,x,eagle,THT,https://github.com/Nagasaki45/eurorack/tree/main/lets%20play%20together,
Pl0p,Drum_H Hi Hats,hi-hat (analog drum voice),,x,kicad + gerbers,THT,https://github.com/Pl0p/Modular_Synth/tree/main/Drum-H,
Pl0p,Drum K MkII,kick (analog drum voice),,x,kicad + gerbers,THT,https://github.com/Pl0p/Modular_Synth/tree/main/Drum-K_MKII,
Pl0p,Drum_S Snare Drum,snare (analog drum voice),,https://github.com/Pl0p/Modular_Synth/blob/main/Drum-S/Sources/Tiny%20Dazzler%20Schematic.png,kicad,THT,https://github.com/Pl0p/Modular_Synth/tree/main/Drum-S,schematic source: Tiny Dazzler
Mutable Instruments + Olivella Modular,Quatro,VCA / mixer (quad; Veils),CC BY-SA 3.0,https://github.com/PoloAudiovisual/Quatro/blob/main/Quatro_rev1.1/Schematics%20%26%20BOM/Quatro_main_rev1.1.pdf,gerbers,THT,https://github.com/PoloAudiovisual/Quatro/tree/main/Quatro_rev1.1,
Quinienl,Mixer,mixer,,x,kicad,THT,https://github.com/Quinienl/Basic-Modules/tree/main/Mixer,
